date,1-year-treasury-rate-yield-chart_monthly_value,10-year-treasury-bond-rate-yield-chart_monthly_value,30-year-fixed-mortgage-rate-chart_monthly_value,30-year-treasury-bond-rate-yield-chart_monthly_value,5-year-treasury-bond-rate-yield-chart_monthly_value,capacity-utilization-rate-historical-chart_monthly_value,debt-to-gdp-ratio-historical-chart_monthly_value,fed-funds-rate-historical-chart_monthly_value,historical-inflation-rate-by-year_monthly_expanded_value,industrial-production-historical-chart_monthly_value,national-debt-growth-by-year_monthly_expanded_value,retail-sales-historical-chart_monthly_value,united-states-economic-growth-rate_quarterly_expanded_value,us-national-unemployment-rate_monthly_value
1999-04,4.69,5.184545454545455,6.93,5.547727272727273,5.079545454545454,81.689,59.192,4.7363333333333335,2.68,88.311,2.88,152186.0,3.08,4.3
1999-05,4.849,5.539499999999999,7.23,5.8055,5.436999999999999,81.872,59.192,4.742258064516129,2.68,88.849,2.88,153455.0,3.08,4.2
1999-06,5.096818181818182,5.899545454545454,7.63,6.041818181818183,5.809090909090909,81.519,59.192,4.764666666666667,2.68,88.798,2.88,153885.0,3.08,4.3
1999-07,5.031904761904762,5.791904761904762,7.7,5.983333333333333,5.678571428571429,81.693,58.393,4.994193548387097,2.68,89.312,2.88,154443.0,5.24,4.3
1999-08,5.197727272727272,5.9390909090909085,7.8,6.068636363636363,5.841363636363636,81.761,58.393,5.072258064516129,2.68,89.711,2.88,155733.0,5.24,4.2
1999-09,5.251428571428572,5.915238095238095,7.76,6.071428571428571,5.801904761904762,81.125,58.393,5.224333333333333,2.68,89.333,2.88,155731.0,5.24,4.2
1999-10,5.429,6.112,7.96,6.2635,6.0335,81.886,58.343,5.199999999999999,2.68,90.492,2.88,155751.0,6.8,4.1
1999-11,5.5535,6.034,7.75,6.1450000000000005,5.968999999999999,82.025,58.343,5.42,2.68,90.965,2.88,157343.0,6.8,4.1
1999-12,5.842272727272728,6.275454545454545,8.06,6.351363636363636,6.1863636363636365,82.384,58.343,5.295806451612902,2.68,91.68,2.88,159871.0,6.8,4.0
2000-01,6.1215,6.661,8.25,6.6255,6.5795,82.053,57.721,5.448387096774193,3.39,91.626,-1.97,158325.0,1.45,4.0
2000-02,6.218,6.519499999999999,8.31,6.232,6.678,82.073,57.721,5.7348275862068965,3.39,91.963,-1.97,160012.0,1.45,4.1
2000-03,6.222173913043479,6.256521739130435,8.23,6.053478260869565,6.503913043478261,82.105,57.721,5.853548387096774,3.39,92.312,-1.97,160931.0,1.45,4.0
2000-04,6.150526315789474,5.990526315789474,8.13,5.846315789473684,6.262631578947368,82.339,55.485,6.019666666666667,3.39,92.887,-1.97,158599.0,7.32,3.8
2000-05,6.326363636363637,6.440454545454545,8.62,6.148636363636364,6.6877272727272725,82.306,55.485,6.268064516129033,3.39,93.162,-1.97,158525.0,7.32,4.0
2000-06,6.172727272727273,6.097272727272728,8.22,5.926363636363636,6.300909090909091,82.08,55.485,6.528333333333333,3.39,93.217,-1.97,158782.0,7.32,4.0
2000-07,6.0825000000000005,6.054,8.13,5.851,6.179,81.655,54.992,6.5445161290322575,3.39,93.04,-1.97,157863.0,0.53,4.0
2000-08,6.18304347826087,5.826086956521739,7.99,5.716086956521739,6.060869565217391,81.17,54.992,6.496774193548387,3.39,92.79,-1.97,158030.0,0.53,4.1
2000-09,6.125500000000001,5.799,7.88,5.8265,5.9345,81.223,54.992,6.5169999999999995,3.39,93.155,-1.97,159878.0,0.53,3.9
2000-10,6.012380952380952,5.738571428571428,7.68,5.803333333333334,5.782857142857143,80.682,54.258,6.509354838709677,3.39,92.836,-1.97,159245.0,2.49,3.9
2000-11,6.091904761904762,5.717142857142857,7.73,5.775714285714285,5.697619047619048,80.423,54.258,6.514333333333334,3.39,92.84,-1.97,158455.0,2.49,3.9
2000-12,5.6025,5.2405,7.13,5.4905,5.168,79.899,54.258,6.402258064516129,3.39,92.533,-1.97,157956.0,2.49,3.9
2001-01,4.814761904761904,5.160952380952381,7.15,5.540952380952381,4.8585714285714285,79.21,55.144,5.975806451612903,1.55,92.03,4.97,158789.0,-1.14,4.2
2001-02,4.684210526315789,5.098947368421053,7.12,5.454736842105263,4.886315789473684,78.428,55.144,5.494285714285715,1.55,91.408,4.97,158394.0,-1.14,4.2
2001-03,4.298636363636363,4.885454545454546,6.91,5.339545454545455,4.642727272727273,77.988,55.144,5.3109677419354835,1.55,91.175,4.97,156985.0,-1.14,4.3
2001-04,3.9765,5.141,7.12,5.646,4.7635,77.501,54.032,4.8020000000000005,1.55,90.877,4.97,159188.0,2.34,4.4
2001-05,3.7813636363636363,5.391363636363637,7.2,5.78,4.927727272727273,76.852,54.032,4.21225806451613,1.55,90.375,4.97,158768.0,2.34,4.3
2001-06,3.576190476190476,5.284285714285714,7.11,5.66952380952381,4.807142857142857,76.209,54.032,3.969666666666667,1.55,89.863,4.97,157795.0,2.34,4.5
2001-07,3.617142857142857,5.236190476190477,7.03,5.613333333333333,4.761904761904762,75.563,54.798,3.769032258064516,1.55,89.329,4.97,157556.0,-1.66,4.6
2001-08,3.470434782608695,4.971304347826087,6.92,5.483478260869566,4.573913043478261,75.289,54.798,3.6525806451612906,1.55,89.22,4.97,158632.0,-1.66,4.9
2001-09,2.824705882352941,4.731764705882353,6.72,5.482941176470588,4.11529411764706,74.72,54.798,3.069,1.55,88.748,4.97,155016.0,-1.66,5.0
2001-10,2.3304545454545456,4.566818181818181,6.64,5.315454545454545,3.9099999999999997,74.331,55.752,2.485161290322581,1.55,88.476,4.97,165845.0,1.09,5.3
2001-11,2.182,4.6515,7.02,5.118,3.9725,73.754,55.752,2.087,1.55,87.963,4.97,161753.0,1.09,5.5
2001-12,2.2155,5.0875,7.16,5.4799999999999995,4.3895,73.595,55.752,1.817741935483871,1.55,87.933,4.97,159924.0,1.09,5.7
2002-01,2.1585714285714284,5.035714285714286,6.96,5.4452380952380945,4.34,73.986,55.697,1.7296774193548385,2.38,88.545,7.78,159543.0,3.5,5.7
2002-02,2.2326315789473683,4.911578947368421,6.81,5.40090909090909,4.298421052631579,73.874,55.697,1.7396428571428573,2.38,88.536,7.78,160143.0,3.5,5.7
2002-03,2.5669999999999997,5.284000000000001,7.18,,4.738,74.346,55.697,1.73,2.38,89.21,7.78,159250.0,3.5,5.7
2002-04,2.475909090909091,5.210909090909091,6.88,,4.646818181818182,74.631,56.271,1.7530000000000001,2.38,89.639,7.78,161089.0,2.42,5.9
2002-05,2.354090909090909,5.164545454545455,6.76,,4.494545454545454,74.897,56.271,1.751290322580645,2.38,90.027,7.78,158747.0,2.42,5.8
2002-06,2.1965,4.9265,6.55,,4.186,75.469,56.271,1.7503333333333333,2.38,90.765,7.78,160007.0,2.42,5.8
2002-07,1.960909090909091,4.653181818181818,6.34,,3.8072727272727276,75.426,56.703,1.729032258064516,2.38,90.744,7.78,161325.0,1.78,5.8
2002-08,1.757272727272727,4.257272727272727,6.22,,3.294545454545455,75.318,56.703,1.7432258064516128,2.38,90.627,7.78,162133.0,1.78,5.7
2002-09,1.7149999999999999,3.87,5.99,,2.9379999999999997,75.399,56.703,1.7506666666666668,2.38,90.724,7.78,159519.0,1.78,5.7
2002-10,1.65,3.940909090909091,6.31,,2.9450000000000003,75.212,57.91,1.7548387096774194,2.38,90.488,7.78,159810.0,0.62,5.7
2002-11,1.4915789473684211,4.048421052631579,6.13,,3.054736842105263,75.643,57.91,1.3359999999999999,2.38,90.982,7.78,160597.0,0.62,5.9
2002-12,1.45,4.032380952380952,5.93,,3.0333333333333337,75.262,57.91,1.2383870967741937,2.38,90.492,7.78,161687.0,0.62,6.0
2003-01,1.3642857142857143,4.048571428571428,5.9,,3.052380952380952,75.915,57.819,1.2351612903225806,1.88,91.24,9.25,161691.0,2.22,5.8
2003-02,1.2963157894736843,3.9026315789473687,5.79,,2.8978947368421055,76.026,57.819,1.2621428571428572,1.88,91.338,9.25,158588.0,2.22,5.9
2003-03,1.24,3.8071428571428574,5.91,,2.783809523809524,75.83,57.819,1.2529032258064516,1.88,91.069,9.25,161134.0,2.22,5.9
2003-04,1.2671428571428571,3.958571428571428,5.79,,2.9285714285714284,75.38,58.961,1.258,1.88,90.491,9.25,161354.0,3.44,6.0
2003-05,1.1814285714285713,3.5690476190476192,5.31,,2.5157142857142856,75.393,58.961,1.2590322580645161,1.88,90.47,9.25,162061.0,3.44,6.1
2003-06,1.0095238095238095,3.334285714285714,5.24,,2.2657142857142856,75.521,58.961,1.2226666666666666,1.88,90.59,9.25,163641.0,3.44,6.3
2003-07,1.1163636363636364,3.975454545454546,5.94,,2.872272727272727,75.935,58.645,1.011290322580645,1.88,91.061,9.25,164805.0,6.79,6.2
