date,fed-funds-rate-historical-chart_monthly_value,1-year-treasury-rate-yield-chart_monthly_value,5-year-treasury-bond-rate-yield-chart_monthly_value,10-year-treasury-bond-rate-yield-chart_monthly_value,30-year-treasury-bond-rate-yield-chart_monthly_value,30-year-fixed-mortgage-rate-chart_monthly_value,historical-inflation-rate-by-year_monthly_expanded_value,debt-to-gdp-ratio-historical-chart_monthly_value,national-debt-growth-by-year_monthly_expanded_value,capacity-utilization-rate-historical-chart_monthly_value,industrial-production-historical-chart_monthly_value,retail-sales-historical-chart_monthly_value,us-national-unemployment-rate_monthly_value,united-states-population-2023-09-10,united-states-economic-growth-rate_quarterly_expanded_value
Aug-98,5.546774194,5.205238095,5.274761905,5.341904762,5.54047619,6.92,1.61,60.587,2.03,82.713,86.246,144663,4.5,1.26,5.01
Sep-98,5.511666667,4.710952381,4.623809524,4.806666667,5.204761905,6.64,1.61,60.587,2.03,82.219,86.171,145902,4.6,1.26,5.01
Oct-98,5.070967742,4.121428571,4.184285714,4.53,5.01047619,6.83,1.61,60.407,2.03,82.383,86.767,147986,4.5,1.26,6.46
Nov-98,4.826,4.525263158,4.537368421,4.827368421,5.248421053,6.78,1.61,60.407,2.03,81.922,86.693,148867,4.4,1.26,6.46
Dec-98,4.683548387,4.518636364,4.45,4.645,5.059090909,6.83,1.61,60.407,2.03,81.896,87.063,149957,4.4,1.26,6.46
Jan-99,4.632580645,4.514210526,4.600526316,4.722105263,5.157894737,6.74,2.68,60.049,2.88,81.875,87.425,149889,4.3,1.21,3.79
Feb-99,4.764642857,4.702631579,4.914736842,4.998947368,5.365263158,6.89,2.68,60.049,2.88,81.992,87.926,151500,4.4,1.21,3.79
Mar-99,4.809354839,4.781304348,5.140434783,5.232608696,5.580434783,6.98,2.68,60.049,2.88,81.826,88.11,152104,4.2,1.21,3.79
Apr-99,4.736333333,4.69,5.079545455,5.184545455,5.547727273,6.93,2.68,59.192,2.88,81.689,88.311,152186,4.3,1.21,3.08
May-99,4.742258065,4.849,5.437,5.5395,5.8055,7.23,2.68,59.192,2.88,81.872,88.849,153455,4.2,1.21,3.08
Jun-99,4.764666667,5.096818182,5.809090909,5.899545455,6.041818182,7.63,2.68,59.192,2.88,81.519,88.798,153885,4.3,1.21,3.08
Jul-99,4.994193548,5.031904762,5.678571429,5.791904762,5.983333333,7.7,2.68,58.393,2.88,81.693,89.312,154443,4.3,1.21,5.24
Aug-99,5.072258065,5.197727273,5.841363636,5.939090909,6.068636364,7.8,2.68,58.393,2.88,81.761,89.711,155733,4.2,1.21,5.24
Sep-99,5.224333333,5.251428571,5.801904762,5.915238095,6.071428571,7.76,2.68,58.393,2.88,81.125,89.333,155731,4.2,1.21,5.24
Oct-99,5.2,5.429,6.0335,6.112,6.2635,7.96,2.68,58.343,2.88,81.886,90.492,155751,4.1,1.21,6.8
Nov-99,5.42,5.5535,5.969,6.034,6.145,7.75,2.68,58.343,2.88,82.025,90.965,157343,4.1,1.21,6.8
Dec-99,5.295806452,5.842272727,6.186363636,6.275454545,6.351363636,8.06,2.68,58.343,2.88,82.384,91.68,159871,4,1.21,6.8
Jan-00,5.448387097,6.1215,6.5795,6.661,6.6255,8.25,3.39,57.721,-1.97,82.053,91.626,158325,4,1.15,1.45
Feb-00,5.734827586,6.218,6.678,6.5195,6.232,8.31,3.39,57.721,-1.97,82.073,91.963,160012,4.1,1.15,1.45
Mar-00,5.853548387,6.222173913,6.503913043,6.256521739,6.053478261,8.23,3.39,57.721,-1.97,82.105,92.312,160931,4,1.15,1.45
Apr-00,6.019666667,6.150526316,6.262631579,5.990526316,5.846315789,8.13,3.39,55.485,-1.97,82.339,92.887,158599,3.8,1.15,7.32
May-00,6.268064516,6.326363636,6.687727273,6.440454545,6.148636364,8.62,3.39,55.485,-1.97,82.306,93.162,158525,4,1.15,7.32
Jun-00,6.528333333,6.172727273,6.300909091,6.097272727,5.926363636,8.22,3.39,55.485,-1.97,82.08,93.217,158782,4,1.15,7.32
Jul-00,6.544516129,6.0825,6.179,6.054,5.851,8.13,3.39,54.992,-1.97,81.655,93.04,157863,4,1.15,0.53
Aug-00,6.496774194,6.183043478,6.060869565,5.826086957,5.716086957,7.99,3.39,54.992,-1.97,81.17,92.79,158030,4.1,1.15,0.53
Sep-00,6.517,6.1255,5.9345,5.799,5.8265,7.88,3.39,54.992,-1.97,81.223,93.155,159878,3.9,1.15,0.53
Oct-00,6.509354839,6.012380952,5.782857143,5.738571429,5.803333333,7.68,3.39,54.258,-1.97,80.682,92.836,159245,3.9,1.15,2.49
Nov-00,6.514333333,6.091904762,5.697619048,5.717142857,5.775714286,7.73,3.39,54.258,-1.97,80.423,92.84,158455,3.9,1.15,2.49
Dec-00,6.402258065,5.6025,5.168,5.2405,5.4905,7.13,3.39,54.258,-1.97,79.899,92.533,157956,3.9,1.15,2.49
1-Jan,5.975806452,4.814761905,4.858571429,5.160952381,5.540952381,7.15,1.55,55.144,4.97,79.21,92.03,158789,4.2,1.09,-1.14
1-Feb,5.494285714,4.684210526,4.886315789,5.098947368,5.454736842,7.12,1.55,55.144,4.97,78.428,91.408,158394,4.2,1.09,-1.14
1-Mar,5.310967742,4.298636364,4.642727273,4.885454545,5.339545455,6.91,1.55,55.144,4.97,77.988,91.175,156985,4.3,1.09,-1.14
1-Apr,4.802,3.9765,4.7635,5.141,5.646,7.12,1.55,54.032,4.97,77.501,90.877,159188,4.4,1.09,2.34
1-May,4.212258065,3.781363636,4.927727273,5.391363636,5.78,7.2,1.55,54.032,4.97,76.852,90.375,158768,4.3,1.09,2.34
1-Jun,3.969666667,3.576190476,4.807142857,5.284285714,5.66952381,7.11,1.55,54.032,4.97,76.209,89.863,157795,4.5,1.09,2.34
1-Jul,3.769032258,3.617142857,4.761904762,5.236190476,5.613333333,7.03,1.55,54.798,4.97,75.563,89.329,157556,4.6,1.09,-1.66
1-Aug,3.652580645,3.470434783,4.573913043,4.971304348,5.483478261,6.92,1.55,54.798,4.97,75.289,89.22,158632,4.9,1.09,-1.66
1-Sep,3.069,2.824705882,4.115294118,4.731764706,5.482941176,6.72,1.55,54.798,4.97,74.72,88.748,155016,5,1.09,-1.66
1-Oct,2.48516129,2.330454545,3.91,4.566818182,5.315454545,6.64,1.55,55.752,4.97,74.331,88.476,165845,5.3,1.09,1.09
